City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Valparaiso,CL,58.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
4,Ponta Do Sol,PT,62.01,overcast clouds,32.6667,-17.1,Hotel do Campo
12,Westfield,US,61.18,overcast clouds,42.1251,-72.7495,Quality Inn
17,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
21,New Norfolk,AU,63.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
22,Praia Da Vitoria,PT,57.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
61,Camacha,PT,58.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
64,Lebu,CL,55.35,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
65,Taoudenni,ML,64.18,clear sky,22.6783,-3.9836,
81,Ayna,PE,61.84,light rain,-12.65,-73.9167,
82,Renqiu,CN,58.44,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
83,Talcahuano,CL,56.88,clear sky,-36.7167,-73.1167,departamento comodo
104,Ribeira Grande,PT,59.16,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
107,Mar Del Plata,AR,62.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
110,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
122,Winburg,ZA,59.72,overcast clouds,-28.518,27.0093,Hotel Winburg
123,Hobart,AU,64.02,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
133,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
134,Challapata,BO,52.59,overcast clouds,-18.9,-66.7667,HOSTAL MARIAN
140,Fortuna,US,51.1,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
142,Vila Franca Do Campo,PT,57.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
146,San Quintin,MX,56.84,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
148,Asfi,MA,53.89,few clouds,32.2994,-9.2372,Hôtel Abda
153,Bethel,US,61.75,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
158,Chuy,UY,64.49,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
171,Jalu,LY,64.85,overcast clouds,29.0331,21.5482,صاحبة الفخامة
174,Concepcion,CL,57.0,clear sky,-36.827,-73.0498,Hotel El Araucano
181,Beni Suef,EG,58.78,overcast clouds,29.0731,31.0979,Jewel Inn Beni Suef
192,Malgrat De Mar,ES,51.98,clear sky,41.6466,2.7414,AQUA Hotel Aquamarina & Spa
199,Twentynine Palms,US,55.98,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
200,Lompoc,US,55.71,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
209,Hit,IQ,53.49,broken clouds,33.6416,42.8251,صالون زيرو
214,Ancud,CL,56.73,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
216,Rawson,AR,60.73,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
239,Hirado,JP,52.95,clear sky,33.3597,129.5531,Samson Hotel
243,Constitucion,CL,55.74,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
244,Mizdah,LY,50.18,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
264,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
269,San Patricio,US,54.28,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
274,Karoi,ZW,61.84,scattered clouds,-16.8099,29.6925,Chikangwe Guest houses
277,Nouakchott,MR,64.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
290,Pingliang,CN,51.78,clear sky,35.5392,106.6861,North Gate Hostel
