City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,67.28,71,100,8.88,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,79.12,74,3,13.13,light rain
2,Valparaiso,CL,-33.0393,-71.6273,58.64,72,0,4.61,clear sky
3,Devils Lake,US,48.1128,-98.8651,28.94,76,100,16.11,overcast clouds
4,Ponta Do Sol,PT,32.6667,-17.1,62.01,77,88,6.4,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,49.66,62,20,21.85,few clouds
6,Barrow,US,71.2906,-156.7887,-5.78,71,40,9.22,scattered clouds
7,Lorengau,PG,-2.0226,147.2712,84.87,71,100,8.21,overcast clouds
8,Albany,US,42.6001,-73.9662,44.76,76,91,5.01,overcast clouds
9,Mogadishu,SO,2.0371,45.3438,78.67,78,75,13.8,broken clouds
10,Hilo,US,19.7297,-155.09,79.79,71,75,5.75,broken clouds
11,Kapaa,US,22.0752,-159.319,78.78,66,0,14.97,clear sky
12,Westfield,US,42.1251,-72.7495,61.18,86,100,19.57,overcast clouds
13,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,80.58,63,31,4.21,scattered clouds
14,Bluff,NZ,-46.6,168.3333,66.09,70,54,1.99,broken clouds
15,Hervey Bay,AU,-25.2986,152.8535,89.04,79,0,12.17,clear sky
16,Vardo,NO,70.3705,31.1107,28.38,80,100,16.13,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,50.11,87,0,20.71,clear sky
18,Umm Lajj,SA,25.0213,37.2685,70.09,81,73,5.5,broken clouds
19,Castro,BR,-24.7911,-50.0119,65.98,86,63,2.57,broken clouds
20,Fairbanks,US,64.8378,-147.7164,27.09,58,0,6.91,clear sky
21,New Norfolk,AU,-42.7826,147.0587,63.66,36,77,3.0,broken clouds
22,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,76,40,12.75,scattered clouds
23,Ilulissat,GL,69.2167,-51.1,12.22,73,100,12.66,overcast clouds
24,Shuangcheng,CN,45.35,126.2833,37.08,74,100,5.99,overcast clouds
25,Esperance,AU,-33.8667,121.9,69.08,63,100,11.14,overcast clouds
26,Yellowknife,CA,62.456,-114.3525,6.42,79,40,13.8,scattered clouds
27,Vikhorevka,RU,56.1201,101.1636,38.79,86,100,7.09,overcast clouds
28,Altay,CN,47.8667,88.1167,28.51,90,98,3.62,snow
29,Avarua,CK,-21.2078,-159.775,73.45,100,75,3.44,moderate rain
30,Mataura,NZ,-46.1927,168.8643,78.3,43,53,4.72,broken clouds
31,Severo-Kurilsk,RU,50.6789,156.125,33.51,97,100,17.52,light snow
32,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,8.05,light snow
33,Acapulco,MX,16.8634,-99.8901,76.82,83,20,6.91,few clouds
34,Kavieng,PG,-2.5744,150.7967,84.04,69,100,9.69,overcast clouds
35,Port Lincoln,AU,-34.7333,135.8667,65.53,69,98,21.52,overcast clouds
36,Karachi,PK,24.9056,67.0822,73.22,49,3,5.75,haze
37,Khatanga,RU,71.9667,102.5,-13.04,90,18,8.84,few clouds
38,Monjaras,HN,13.2006,-87.3742,80.85,73,42,3.0,scattered clouds
39,Jamestown,US,42.097,-79.2353,33.12,65,100,12.66,overcast clouds
40,Narsaq,GL,60.9167,-46.05,10.62,75,12,8.77,few clouds
41,Mancio Lima,BR,-7.6142,-72.8958,70.77,96,100,1.3,overcast clouds
42,Betare Oya,CM,5.6,14.0833,71.85,74,100,3.85,overcast clouds
43,Ankpa,NG,7.3706,7.6253,75.65,83,100,6.02,overcast clouds
44,Butaritari,KI,3.0707,172.7902,80.64,82,83,16.8,light rain
45,Bremerton,US,47.5673,-122.6326,46.96,85,63,1.03,broken clouds
46,Whitewater,US,42.8336,-88.7323,31.48,71,52,7.63,broken clouds
47,Hithadhoo,MV,-0.6,73.0833,82.71,66,80,6.71,broken clouds
48,Piacabucu,BR,-10.4056,-36.4344,77.95,78,82,6.44,broken clouds
49,Cidreira,BR,-30.1811,-50.2056,73.18,95,100,6.15,overcast clouds
50,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.31,85,1,11.05,clear sky
51,Nikolskoye,RU,59.7035,30.7861,10.29,100,94,1.92,overcast clouds
52,Port Alfred,ZA,-33.5906,26.891,71.37,89,100,9.53,light rain
53,Grindavik,IS,63.8424,-22.4338,34.27,86,100,16.11,snow
54,Bonthe,SL,7.5264,-12.505,76.03,78,3,1.32,clear sky
55,Pevek,RU,69.7008,170.3133,-0.36,90,67,3.0,broken clouds
56,Dikson,RU,73.5069,80.5464,-21.93,98,100,8.01,overcast clouds
