City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-03-07 03:28:35,-9.8,-139.0333,78.67,78,33,12.41
1,Puerto Ayora,EC,2022-03-07 03:28:36,-0.7393,-90.3518,76.64,84,81,3.78
2,Bac,RS,2022-03-07 03:28:36,45.3919,19.2367,33.93,99,100,4.09
3,Sari,IR,2022-03-07 03:28:37,36.5633,53.0601,47.79,93,100,13.8
4,Talnakh,RU,2022-03-07 03:28:37,69.4865,88.3972,-25.83,96,24,2.39
5,Sechura,PE,2022-03-07 03:28:38,-5.5569,-80.8222,75.07,71,95,4.83
6,Coihaique,CL,2022-03-07 03:28:39,-45.5752,-72.0662,51.75,87,0,2.3
7,Rikitea,PF,2022-03-07 03:28:39,-23.1203,-134.9692,79.45,77,100,17.27
8,Haines Junction,CA,2022-03-07 03:28:39,60.7522,-137.5108,28.35,46,4,8.05
9,Port Elizabeth,ZA,2022-03-07 03:28:40,-33.918,25.5701,73.09,88,0,2.3
10,Mar Del Plata,AR,2022-03-07 03:24:36,-38.0023,-57.5575,68.09,90,75,15.01
11,Tuatapere,NZ,2022-03-07 03:28:41,-46.1333,167.6833,53.82,75,90,6.91
12,Albany,US,2022-03-07 03:28:34,42.6001,-73.9662,59.74,61,62,4.0
13,Bredasdorp,ZA,2022-03-07 03:28:41,-34.5322,20.0403,66.27,75,99,6.58
14,Ushuaia,AR,2022-03-07 03:28:42,-54.8,-68.3,40.66,75,75,5.75
15,San Patricio,US,2022-03-07 03:28:42,28.017,-97.5169,73.38,93,23,14.45
16,Jamestown,US,2022-03-07 03:27:37,42.097,-79.2353,46.09,60,0,9.22
17,Mayo,US,2022-03-07 03:28:43,38.8876,-76.5119,73.35,64,75,8.05
18,Saint-Philippe,RE,2022-03-07 03:28:43,-21.3585,55.7679,78.39,86,100,15.73
19,Snyder,US,2022-03-07 03:28:44,32.7179,-100.9176,37.54,80,0,12.66
20,Provideniya,RU,2022-03-07 03:28:44,64.3833,-173.3,15.75,94,100,13.91
21,Ugoofaaru,MV,2022-03-07 03:28:45,5.6667,73.0,80.74,67,100,3.56
22,Itarema,BR,2022-03-07 03:28:45,-2.9248,-39.9167,76.41,90,100,6.15
23,Gualaco,HN,2022-03-07 03:28:46,15.05,-86.05,66.36,94,41,1.83
24,Vaini,TO,2022-03-07 03:28:46,-21.2,-175.2,86.16,79,75,9.22
25,Barrow,US,2022-03-07 03:28:47,71.2906,-156.7887,10.42,79,100,13.8
26,Mataura,NZ,2022-03-07 03:28:47,-46.1927,168.8643,53.47,77,100,7.27
27,Khatanga,RU,2022-03-07 03:28:48,71.9667,102.5,-17.99,99,95,1.48
28,Novyy Urengoy,RU,2022-03-07 03:27:11,66.0833,76.6333,-34.29,100,86,7.16
29,Karad,IN,2022-03-07 03:28:49,17.2833,74.2,78.15,38,33,6.4
30,Cairns,AU,2022-03-07 03:28:49,-16.9167,145.7667,104.29,66,48,14.97
31,Zhangjiakou,CN,2022-03-07 03:28:49,40.81,114.8794,39.52,27,0,3.8
32,Surin,TH,2022-03-07 03:28:50,14.8818,103.4936,93.97,76,22,6.98
33,Cape Town,ZA,2022-03-07 03:23:58,-33.9258,18.4232,70.12,90,75,16.11
34,Dikson,RU,2022-03-07 03:28:51,73.5069,80.5464,-14.17,100,99,7.11
35,Mahebourg,MU,2022-03-07 03:28:51,-20.4081,57.7,81.25,83,75,12.66
36,Hermanus,ZA,2022-03-07 03:28:52,-34.4187,19.2345,69.91,90,93,3.44
37,Haikou,CN,2022-03-07 03:28:52,20.0458,110.3417,78.93,78,75,8.95
38,Butaritari,KI,2022-03-07 03:28:53,3.0707,172.7902,81.63,78,21,16.49
39,Airai,TL,2022-03-07 03:28:53,-8.9266,125.4092,76.95,50,100,1.81
40,Jimo,CN,2022-03-07 03:28:54,36.3897,120.4622,51.58,40,0,11.18
41,Bluff,NZ,2022-03-07 03:28:54,-46.6,168.3333,53.8,62,46,15.03
42,Georgetown,MY,2022-03-07 03:26:37,5.4112,100.3354,87.73,79,20,10.36
43,Thompson,CA,2022-03-07 03:26:34,55.7435,-97.8558,3.36,85,0,0.0
44,Port Blair,IN,2022-03-07 03:28:55,11.6667,92.75,84.24,70,40,4.61
45,Placido De Castro,BR,2022-03-07 03:28:55,-10.3353,-67.1856,73.44,96,100,2.48
46,Forestville,US,2022-03-07 03:28:56,38.8451,-76.875,72.46,63,20,14.97
47,Giaginskaya,RU,2022-03-07 03:28:57,44.8621,40.0719,30.47,81,6,5.7
48,Punta Arenas,CL,2022-03-07 03:28:57,-53.15,-70.9167,37.51,87,40,4.61
49,Avarua,CK,2022-03-07 03:28:58,-21.2078,-159.775,82.45,83,40,13.8
50,Busselton,AU,2022-03-07 03:28:58,-33.65,115.3333,81.05,47,1,11.21
51,Cabinda,AO,2022-03-07 03:28:59,-5.55,12.2,80.1,89,100,7.09
52,Cherskiy,RU,2022-03-07 03:28:59,68.75,161.3,-15.21,93,44,3.38
53,Tasiilaq,GL,2022-03-07 03:29:00,65.6145,-37.6368,24.96,93,99,0.51
54,Staroutkinsk,RU,2022-03-07 03:29:00,57.2302,59.3348,-14.08,100,90,2.51
55,Arlit,NE,2022-03-07 03:29:01,18.7369,7.3853,79.57,16,100,2.13
56,Lompoc,US,2022-03-07 03:25:28,34.6391,-120.4579,52.12,81,40,20.0
57,Waipawa,NZ,2022-03-07 03:29:02,-41.4122,175.5153,61.45,91,100,12.06
58,Kapaa,US,2022-03-07 03:29:02,22.0752,-159.319,77.32,75,75,10.36
